number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28118","胡瓜のごま和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","41.2","0.943","0.767","7.566","0.74"
"28119","栗かぼちゃコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","100.5","0.962","7.655","6.991","0.41"
"28120","こんにゃくきんぴら","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"28121","カレーライス（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","286.1","4.960","19.970","9.960","2.24"
"28122","玉子丼","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","122.2","2.020","8.332","9.161","0.44"
"28123","三色丼（ダイスキャロット）","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"28124","卵スープ","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"28125","牛丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"28126","みそ汁（もやし・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28127","かぼちゃ煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.2","0.943","0.767","7.566","0.74"
"28128","いんげんとベーコンの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"28129","みかん缶","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"28130","みそ汁（白菜・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28131","ごぼうのしぐれ煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","122.2","2.020","8.332","9.161","0.44"
"28132","みそ汁（大根葉・油揚げ）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"28133","みそ汁（白菜・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","5.7","0.318","0.042","1.348","0.01"
"28134","カリフラワー炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"28135","小松菜煮びたし","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"28136","インゲン炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","38.2","2.838","2.498","0.25","0.02"
"28137","骨なし秋鮭","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"28138","厚焼き玉子","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","52.2","0.992","3.112","4.754","0.22"
"28139","キャベツごま和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","38.2","2.838","2.498","0.25","0.02"
"28140","五目豆腐炒め物（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
"28141","五目豆腐炒め物(椎茸なし)","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"28142","切干大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","52.2","0.992","3.112","4.754","0.22"
